1005	1.0	17.4	0.1	3.0
1010	1.2	17.6	0.1	3.0
1015	1.5	17.8	0.1	3.0
1020	0.8	18.0	0.1	3.0
1025	1.0	18.2	0.1	3.0
1030	1.5	18.4	0.1	3.0
1035	2.4	18.6	0.1	3.0
1040	2.5	18.8	0.1	3.0
1045	2.5	19.0	0.1	3.0
1050	2.7	19.2	0.1	3.0
1055	3.0	19.4	0.1	3.0
1060	2.5	19.6	0.1	3.0
1065	2.6	19.8	0.1	3.0
1070	2.7	20.0	0.1	3.0
1075	3.0	20.2	0.1	3.0

